Site,qtd CNPJs,qtd UF MVX,CNPJ,CNPJRaiz,RazaoSocial,Telefone,Logradouro,Numero,Complemento,Bairro,Cidade,Uf,Cep,CapitalSocial,Cnae,CodigoPredio,Predio,NaturezaJuridica,DescNaturezaJuridica,Mailing,SDR,Data,Telefone
https://DOMINALOG.COM.BR,12,8,18247063001850,18247063,DOMINALOG EXPRESS LOGISTICA INTEGRADA LTDA,Erro na consulta,RUA NOVA SAO PAULO,331,GALPAO06,ITAQUI,ITAPEVI,SPI,6696100,6100000,4930202,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://BRCONDOS.COM.BR,23,6,46684456000119,46684456,RESIDENCIAL BOM RETIRO II,(47) 3801.7605,RUA FRANCISCO BRAZ DO PRADO,1192,,PARQUE BOM RETIRO,PAULINIA,SPI,13142126,0,8112500,,,3085,Condomínio Edilício,MAILING LIBERADO,adelacosta,2025-02-05,(47) 3801.7605
https://RENAPSI.ORG.BR,10,6,37381902006913,37381902,"REDE NACIONAL DE APRENDIZAGEM, PROMOCAO SOCIAL E INTEGRACAO",Nenhum telefone encontrado.,RUA ABILIO FIGUEIREDO,92,ANDAR 16,ANHANGABAU,JUNDIAI,SPI,13208140,0,9430800,,,3999,Associação Privada,MAILING LIBERADO,adelacosta,2025-02-05,Nenhum telefone encontrado.
https://GRUPOCENE.COM.BR,8,5,2643405000335,2643405,HOME CARE CENE HOSPITALLAR LTDA,"20220411121, 0512164353, 20216620, 20215820, 20216390, 20220407180, 2022
2022, 20220411123",RUA MONSENHOR JOAO BAPTISTA MARTINS LADEIRA,202A,,VILA JOAO JORGE,CAMPINAS,SPI,13041313,1000000,8712300,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"20220411121, 0512164353, 20216620, 20215820, 20216390, 20220407180, 2022
2022, 20220411123"
https://VAENGENHARIA.COM.BR,9,5,23984666000127,23984666,VOLTS AMPERE ENGENHARIA SISTEMAS DE ENERGIA LTDA,(15) 3031-5003,RUA DA PENHA,816,SALA  01,CENTRO,SOROCABA,SPI,18010003,900000,7112000,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,(15) 3031-5003
https://TIGRE.COM,6,5,26471833000477,26471833,"TIGRE SOLUCOES AMBIENTAIS, INDUSTRIA, COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA.",Erro na consulta,AVENIDA PRESIDENTE VARGAS,2921,SALA  206 E 207,VILA HOMERO,INDAIATUBA,SPI,13338705,5840080,8211300,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://BAHIAASSOCIADOS.COM.BR,21,4,1542101000157,1542101,RIEKE DO BRASIL EMBALAGENS LTDA,"(19) 3816-5577, (11) 2391-5787",AVENIDA JUVENAL ARANTES,2500,GALPAO14 E 15             COND  INDUSTRIAL BRACAIUVA,JARDIM CAROLINA,JUNDIAI,SPI,13212354,19757624,4686902,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"(19) 3816-5577, (11) 2391-5787"
https://VITTA.SRV.BR,5,4,28251666000131,28251666,VITTA LOGISTICA LTDA,Erro na consulta,AVENIDA DOS PARQUES (ALPHASITIO),45,SALA  412B E 413B,TAMBORE,SANTANA DE PARNAIBA,SPI,6544300,50000,4930202,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://SMARTWAYASSESSORIA.COM,12,4,26960956000129,26960956,A&R ASSESSORIA CONTABIL E GESTAO EMPRESARIAL LTDA,"+55 (11) 2709-4800, +55 (11) 3379-1486",AVENIDA QUATORZE DE DEZEMBRO,1767,ANEXO I,VILA MAFALDA,JUNDIAI,SPI,13206105,30000,6920601,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"+55 (11) 2709-4800, +55 (11) 3379-1486"
https://IMPERIO.CNT.BR,22,4,11406411000106,11406411,LPLASTIC COMERCIO DE PECAS LTDA,Erro na consulta,RUA ALVARO CECHINO,93,SALA  02,SANTA SOFIA,AMERICANA,SPI,13477233,100000,4530703,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
